shop_date,lodging_name,market,num_guests,check_in,check_out,advance,los,hopper_price,competitor_1,competitor_2,competitor_3,competitor_4
12/19/2022,Hotel 245,Atlanta,2,12/22,12/23,3,1,156,173,173,173,172
12/19/2022,Hotel 245,Atlanta,2,12/19,12/23,0,4,679,775,775,775,772
12/19/2022,Hotel 245,Atlanta,2,12/22,12/26,3,4,882,1009,1009,1009,1005
12/19/2022,Hotel 245,Atlanta,2,12/19,12/25,0,6,1122,1286,1286,1286,1281
12/19/2022,Hotel 245,Atlanta,2,12/22,12/28,3,6,1319,1513,1513,1513,1508
12/19/2022,Hotel 204,Atlanta,2,12/19,12/20,0,1,110,130,128,150,149
12/19/2022,Hotel 204,Atlanta,2,12/22,12/23,3,1,58,103,102,119,118
12/19/2022,Hotel 204,Atlanta,2,12/19,12/23,0,4,381,390,396,463,462
12/19/2022,Hotel 204,Atlanta,2,12/22,12/26,3,4,344,350,356,415,415
12/19/2022,Hotel 204,Atlanta,2,12/19,12/25,0,6,511,578,514,686,599
12/19/2022,Hotel 204,Atlanta,2,12/22,12/28,3,6,514,531,514,629,599
12/19/2022,Hotel 5,Atlanta,2,12/19,12/20,0,1,174,179,179,179,178
12/19/2022,Hotel 5,Atlanta,2,12/22,12/23,3,1,168,173,173,173,172
12/19/2022,Hotel 5,Atlanta,2,12/19,12/23,0,4,567,676,577,676,673
12/19/2022,Hotel 5,Atlanta,2,12/22,12/26,3,4,911,1050,1050,1050,1046
12/19/2022,Hotel 5,Atlanta,2,12/19,12/25,0,6,1035,1069,913,1069,1065
12/19/2022,Hotel 5,Atlanta,2,12/22,12/28,3,6,1410,1625,1625,1625,1624
12/19/2022,Hotel 249,Atlanta,2,12/19,12/20,0,1,189,202,219,236,232
12/19/2022,Hotel 249,Atlanta,2,12/22,12/23,3,1,163,182,197,213,208
12/19/2022,Hotel 249,Atlanta,2,12/19,12/23,0,4,655,661,691,747,734
12/19/2022,Hotel 249,Atlanta,2,12/22,12/26,3,4,765,764,799,863,848
12/19/2022,Hotel 249,Atlanta,2,12/19,12/25,0,6,940,983,1028,1110,1091
12/19/2022,Hotel 249,Atlanta,2,12/22,12/28,3,6,1180,1205,1261,1362,1339
12/19/2022,Hotel 43,Atlanta,2,12/19,12/20,0,1,110,138,136,138,136
12/19/2022,Hotel 43,Atlanta,2,12/22,12/23,3,1,88,115,114,115,113
12/19/2022,Hotel 43,Atlanta,2,12/19,12/23,0,4,412,459,455,459,454
12/19/2022,Hotel 43,Atlanta,2,12/22,12/26,3,4,408,453,449,453,449
12/19/2022,Hotel 43,Atlanta,2,12/19,12/25,0,6,528,604,598,604,597
12/19/2022,Hotel 43,Atlanta,2,12/22,12/28,3,6,537,613,606,613,606
12/19/2022,Hotel 292,Atlanta,2,12/19,12/20,0,1,169,214,214,238,236
12/19/2022,Hotel 292,Atlanta,2,12/22,12/23,3,1,258,277,277,308,306
12/19/2022,Hotel 292,Atlanta,2,12/19,12/23,0,4,879,947,944,1050,1046
12/19/2022,Hotel 292,Atlanta,2,12/22,12/26,3,4,1204,1284,1279,1424,1419
12/19/2022,Hotel 292,Atlanta,2,12/19,12/25,0,6,1627,1656,1650,1836,1829
12/19/2022,Hotel 292,Atlanta,2,12/22,12/28,3,6,1701,1806,1800,2003,1996
12/19/2022,Hotel 225,Austin,2,12/19,12/20,0,1,473,556,556,556,555
12/19/2022,Hotel 225,Austin,2,12/19,12/23,0,4,1636,1739,1739,1836,1483
12/19/2022,Hotel 225,Austin,2,12/22,12/26,3,4,1309,1410,1496,1496,1206
12/19/2022,Hotel 225,Austin,2,12/19,12/25,0,6,2425,2499,2150,2662,2150
12/19/2022,Hotel 225,Austin,2,12/22,12/28,3,6,1950,2059,1745,2167,1745
12/19/2022,Hotel 130,Austin,2,12/19,12/20,0,1,276,292,221,292,267
12/19/2022,Hotel 130,Austin,2,12/22,12/23,3,1,266,282,221,282,257
12/19/2022,Hotel 130,Austin,2,12/19,12/23,0,4,996,1030,892,1039,1039
12/19/2022,Hotel 130,Austin,2,12/22,12/26,3,4,908,945,824,954,718
12/19/2022,Hotel 130,Austin,2,12/19,12/25,0,6,1510,1502,1304,1516,1516
12/19/2022,Hotel 130,Austin,2,12/22,12/28,3,6,1383,1379,1205,1392,1042
12/19/2022,Hotel 6,Austin,2,12/19,12/20,0,1,114,139,139,139,140
12/19/2022,Hotel 6,Austin,2,12/22,12/23,3,1,112,137,137,137,138
12/19/2022,Hotel 6,Austin,2,12/19,12/23,0,4,443,541,541,541,540
12/19/2022,Hotel 6,Austin,2,12/22,12/26,3,4,433,529,529,529,533
12/19/2022,Hotel 6,Austin,2,12/19,12/25,0,6,808,805,805,805,804
12/19/2022,Hotel 6,Austin,2,12/22,12/28,3,6,797,784,784,784,790
12/19/2022,Hotel 259,Austin,2,12/19,12/20,0,1,237,286,287,314,314
12/19/2022,Hotel 259,Austin,2,12/22,12/23,3,1,270,317,350,349,317
12/19/2022,Hotel 259,Austin,2,12/19,12/23,0,4,1365,1238,1363,1361,1363
12/19/2022,Hotel 259,Austin,2,12/22,12/26,3,4,1379,1249,1375,1372,1246
12/19/2022,Hotel 259,Austin,2,12/19,12/25,0,6,2043,1852,2039,2035,2039
12/19/2022,Hotel 259,Austin,2,12/22,12/28,3,6,2049,1852,2039,2035,2039
12/19/2022,Hotel 16,Austin,2,12/19,12/20,0,1,157,163,163,163,164
12/19/2022,Hotel 16,Austin,2,12/22,12/23,3,1,144,149,149,149,148
12/19/2022,Hotel 16,Austin,2,12/19,12/23,0,4,685,674,674,674,679
12/19/2022,Hotel 16,Austin,2,12/22,12/26,3,4,623,573,573,573,573
12/19/2022,Hotel 16,Austin,2,12/19,12/25,0,6,1028,1011,1011,1011,1019
12/19/2022,Hotel 16,Austin,2,12/22,12/28,3,6,842,840,840,840,840
12/19/2022,Hotel 15,Austin,2,12/22,12/23,3,1,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 15,Austin,2,12/22,12/26,3,4,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 15,Austin,2,12/22,12/28,3,6,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 3,Austin,2,12/19,12/20,0,1,130,129,168,168,169
12/19/2022,Hotel 3,Austin,2,12/22,12/23,3,1,126,115,151,151,152
12/19/2022,Hotel 3,Austin,2,12/19,12/23,0,4,458,494,549,549,553
12/19/2022,Hotel 3,Austin,2,12/22,12/26,3,4,469,466,518,518,522
12/19/2022,Hotel 3,Austin,2,12/19,12/25,0,6,829,738,819,820,826
12/19/2022,Hotel 3,Austin,2,12/22,12/28,3,6,773,749,832,832,839
12/19/2022,Hotel 59,Austin,2,12/19,12/20,0,1,120,147,146,164,147
12/19/2022,Hotel 59,Austin,2,12/22,12/23,3,1,121,149,147,165,108
12/19/2022,Hotel 59,Austin,2,12/19,12/23,0,4,547,600,596,667,588
12/19/2022,Hotel 59,Austin,2,12/22,12/26,3,4,513,560,618,622,501
12/19/2022,Hotel 59,Austin,2,12/19,12/25,0,6,1014,906,899,1007,839
12/19/2022,Hotel 59,Austin,2,12/22,12/28,3,6,801,843,929,936,734
12/19/2022,Hotel 216,Austin,2,12/19,12/20,0,1,160,188,175,209,211
12/19/2022,Hotel 216,Austin,2,12/22,12/23,3,1,138,146,137,163,164
12/19/2022,Hotel 216,Austin,2,12/19,12/23,0,4,533,628,588,697,703
12/19/2022,Hotel 216,Austin,2,12/22,12/26,3,4,543,575,540,639,644
12/19/2022,Hotel 216,Austin,2,12/19,12/25,0,6,1034,920,863,1023,1031
12/19/2022,Hotel 216,Austin,2,12/22,12/28,3,6,953,847,796,941,948
12/19/2022,Hotel 103,Austin,2,12/19,12/20,0,1,97,135,123,135,128
12/19/2022,Hotel 103,Austin,2,12/22,12/23,3,1,93,124,112,124,116
12/19/2022,Hotel 103,Austin,2,12/19,12/23,0,4,517,507,459,507,479
12/19/2022,Hotel 103,Austin,2,12/22,12/26,3,4,429,428,388,428,399
12/19/2022,Hotel 103,Austin,2,12/19,12/25,0,6,762,754,684,754,712
12/19/2022,Hotel 103,Austin,2,12/22,12/28,3,6,644,642,583,642,599
12/19/2022,Hotel 133,Austin,2,12/19,12/20,0,1,362,425,447,524,524
12/19/2022,Hotel 133,Austin,2,12/22,12/23,3,1,288,351,291,431,431
12/19/2022,Hotel 133,Austin,2,12/19,12/23,0,4,1519,1464,1511,1457,1457
12/19/2022,Hotel 133,Austin,2,12/22,12/26,3,4,1232,1463,1217,1463,1463
12/19/2022,Hotel 133,Austin,2,12/19,12/25,0,6,2233,2160,2230,2154,2154
12/19/2022,Hotel 133,Austin,2,12/22,12/28,3,6,1987,2268,1892,2268,2268
12/19/2022,Hotel 176,Austin,2,12/19,12/20,0,1,242,273,273,273,272
12/19/2022,Hotel 176,Austin,2,12/22,12/23,3,1,237,273,268,268,267
12/19/2022,Hotel 176,Austin,2,12/19,12/23,0,4,1550,1660,1665,1665,1664
12/19/2022,Hotel 176,Austin,2,12/22,12/26,3,4,916,1000,1015,1015,1015
12/19/2022,Hotel 176,Austin,2,12/19,12/25,0,6,2491,2474,2489,2489,2489
12/19/2022,Hotel 176,Austin,2,12/22,12/28,3,6,1463,1445,1460,1460,1459
12/19/2022,Hotel 295,Boston,2,12/19,12/20,0,1,193,236,210,262,262
12/19/2022,Hotel 295,Boston,2,12/22,12/23,3,1,163,201,205,223,223
12/19/2022,Hotel 295,Boston,2,12/19,12/23,0,4,746,744,763,838,837
12/19/2022,Hotel 295,Boston,2,12/22,12/26,3,4,713,713,730,801,801
12/19/2022,Hotel 295,Boston,2,12/19,12/25,0,6,964,1106,1133,1244,1243
12/19/2022,Hotel 295,Boston,2,12/22,12/28,3,6,1020,1054,1080,1184,1184
12/19/2022,Hotel 177,Boston,2,12/19,12/20,0,1,211,261,261,261,260
12/19/2022,Hotel 177,Boston,2,12/22,12/23,3,1,202,261,261,261,260
12/19/2022,Hotel 177,Boston,2,12/19,12/23,0,4,888,1090,1090,1090,1002
12/19/2022,Hotel 177,Boston,2,12/22,12/26,3,4,910,1125,1125,1125,1037
12/19/2022,Hotel 177,Boston,2,12/19,12/25,0,6,1378,1658,1658,1658,1658
12/19/2022,Hotel 177,Boston,2,12/22,12/28,3,6,1391,1676,1676,1676,1530
12/19/2022,Hotel 28,Boston,2,12/19,12/20,0,1,256,275,275,302,301
12/19/2022,Hotel 28,Boston,2,12/22,12/23,3,1,223,238,238,261,260
12/19/2022,Hotel 28,Boston,2,12/19,12/23,0,4,830,863,872,953,953
12/19/2022,Hotel 28,Boston,2,12/22,12/26,3,4,805,835,843,922,921
12/19/2022,Hotel 28,Boston,2,12/19,12/25,0,6,1281,1294,1308,1430,1429
12/19/2022,Hotel 28,Boston,2,12/22,12/28,3,6,1190,1201,1213,1325,1324
12/19/2022,Hotel 218,Boston,2,12/19,12/20,0,1,108,124,155,132,146
12/19/2022,Hotel 218,Boston,2,12/22,12/23,3,1,164,160,189,179,178
12/19/2022,Hotel 218,Boston,2,12/19,12/23,0,4,544,613,722,627,682
12/19/2022,Hotel 218,Boston,2,12/22,12/26,3,4,654,661,777,677,735
12/19/2022,Hotel 218,Boston,2,12/19,12/25,0,6,840,916,1110,916,1050
12/19/2022,Hotel 218,Boston,2,12/22,12/28,3,6,932,961,1144,961,1082
12/19/2022,Hotel 114,Boston,2,12/19,12/20,0,1,298,348,354,348,354
12/19/2022,Hotel 114,Boston,2,12/22,12/23,3,1,264,313,319,313,319
12/19/2022,Hotel 114,Boston,2,12/19,12/23,0,4,887,1059,1082,1059,1081
12/19/2022,Hotel 114,Boston,2,12/22,12/26,3,4,1021,1198,1221,1198,1221
12/19/2022,Hotel 114,Boston,2,12/19,12/25,0,6,1376,1574,1608,1574,1608
12/19/2022,Hotel 114,Boston,2,12/22,12/28,3,6,1583,1788,1823,1788,1822
12/19/2022,Hotel 269,Boston,2,12/19,12/20,0,1,111,131,123,146,145
12/19/2022,Hotel 269,Boston,2,12/22,12/23,3,1,99,115,113,134,133
12/19/2022,Hotel 269,Boston,2,12/19,12/23,0,4,528,610,463,610,547
12/19/2022,Hotel 269,Boston,2,12/22,12/26,3,4,468,469,463,547,547
12/19/2022,Hotel 269,Boston,2,12/19,12/25,0,6,786,877,689,877,814
12/19/2022,Hotel 269,Boston,2,12/22,12/28,3,6,738,708,699,827,826
12/19/2022,Hotel 205,Boston,2,12/19,12/20,0,1,70,106,100,106,105
12/19/2022,Hotel 205,Boston,2,12/22,12/23,3,1,69,106,100,106,105
12/19/2022,Hotel 205,Boston,2,12/19,12/23,0,4,356,401,401,401,401
12/19/2022,Hotel 205,Boston,2,12/22,12/26,3,4,362,406,406,406,406
12/19/2022,Hotel 205,Boston,2,12/19,12/25,0,6,527,602,602,602,601
12/19/2022,Hotel 205,Boston,2,12/22,12/28,3,6,537,612,612,612,612
12/19/2022,Hotel 169,Boston,2,12/19,12/20,0,1,257,257,261,257,256
12/19/2022,Hotel 169,Boston,2,12/22,12/23,3,1,211,245,250,245,245
12/19/2022,Hotel 169,Boston,2,12/19,12/23,0,4,728,809,827,809,827
12/19/2022,Hotel 169,Boston,2,12/22,12/26,3,4,724,800,818,800,817
12/19/2022,Hotel 169,Boston,2,12/19,12/25,0,6,1074,1214,1241,1214,1241
12/19/2022,Hotel 169,Boston,2,12/22,12/28,3,6,1074,1155,1182,1155,1181
12/19/2022,Hotel 179,Boston,2,12/19,12/20,0,1,200,232,232,232,231
12/19/2022,Hotel 179,Boston,2,12/22,12/23,3,1,248,302,302,302,301
12/19/2022,Hotel 179,Boston,2,12/19,12/23,0,4,850,993,993,993,993
12/19/2022,Hotel 235,Boston,2,12/19,12/20,0,1,324,363,345,401,402
12/19/2022,Hotel 235,Boston,2,12/22,12/23,3,1,301,342,296,377,378
12/19/2022,Hotel 235,Boston,2,12/19,12/23,0,4,1314,1454,1320,1602,1538
12/19/2022,Hotel 235,Boston,2,12/22,12/26,3,4,1224,1370,1183,1509,1515
12/19/2022,Hotel 235,Boston,2,12/19,12/25,0,6,2031,2181,1971,2403,2296
12/19/2022,Hotel 235,Boston,2,12/22,12/28,3,6,1896,2055,1774,2264,2272
12/19/2022,Hotel 232,Boston,2,12/19,12/20,0,1,425,348,384,384,384
12/19/2022,Hotel 232,Boston,2,12/22,12/23,3,1,271,286,286,315,314
12/19/2022,Hotel 232,Boston,2,12/19,12/23,0,4,984,1138,1253,1253,1253
12/19/2022,Hotel 232,Boston,2,12/22,12/26,3,4,997,990,990,1089,1088
12/19/2022,Hotel 232,Boston,2,12/19,12/25,0,6,1960,1753,1931,1931,1930
12/19/2022,Hotel 232,Boston,2,12/22,12/28,3,6,1651,1372,1372,1508,1507
12/19/2022,Hotel 65,Boston,2,12/19,12/20,0,1,128,148,166,166,166
12/19/2022,Hotel 65,Boston,2,12/22,12/23,3,1,191,213,240,240,239
12/19/2022,Hotel 65,Boston,2,12/19,12/23,0,4,697,681,801,801,761
12/19/2022,Hotel 65,Boston,2,12/22,12/26,3,4,583,622,706,706,671
12/19/2022,Hotel 65,Boston,2,12/19,12/25,0,6,920,982,1155,1155,1097
12/19/2022,Hotel 65,Boston,2,12/22,12/28,3,6,802,851,964,965,916
12/19/2022,Hotel 294,Cancun,2,12/19,12/20,0,1,245,244,385,387,385
12/19/2022,Hotel 294,Cancun,2,12/22,12/23,3,1,306,230,363,365,362
12/19/2022,Hotel 294,Cancun,2,12/19,12/23,0,4,1337,941,1491,1493,1490
12/19/2022,Hotel 294,Cancun,2,12/22,12/26,3,4,1711,942,1493,1495,1493
12/19/2022,Hotel 294,Cancun,2,12/19,12/25,0,6,2067,1424,2258,2260,2257
12/19/2022,Hotel 294,Cancun,2,12/22,12/28,3,6,1963,1413,2241,2243,2241
12/19/2022,Hotel 188,Cancun,2,12/22,12/23,3,1,186,232,209,256,257
12/19/2022,Hotel 188,Cancun,2,12/22,12/26,3,4,827,1020,918,1125,1124
12/19/2022,Hotel 188,Cancun,2,12/22,12/28,3,6,1861,1609,1448,1775,1774
12/19/2022,Hotel 73,Cancun,2,12/19,12/20,0,1,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 73,Cancun,2,12/22,12/23,3,1,152,233,202,262,152
12/19/2022,Hotel 73,Cancun,2,12/22,12/26,3,4,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 73,Cancun,2,12/19,12/25,0,6,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 73,Cancun,2,12/22,12/28,3,6,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 284,Cancun,2,12/19,12/20,0,1,390,448,458,456,565
12/19/2022,Hotel 284,Cancun,2,12/22,12/23,3,1,421,448,458,456,565
12/19/2022,Hotel 284,Cancun,2,12/19,12/23,0,4,1155,1793,1833,1825,2260
12/19/2022,Hotel 284,Cancun,2,12/22,12/26,3,4,1667,1793,1833,1825,2260
12/19/2022,Hotel 284,Cancun,2,12/19,12/25,0,6,3395,2689,2748,2737,3390
12/19/2022,Hotel 284,Cancun,2,12/22,12/28,3,6,2881,2881,2939,2933,3625
12/19/2022,Hotel 213,Cancun,2,12/19,12/20,0,1,31,51,57,59,51
12/19/2022,Hotel 213,Cancun,2,12/22,12/23,3,1,189,70,79,83,71
12/19/2022,Hotel 213,Cancun,2,12/19,12/23,0,4,355,294,389,409,362
12/19/2022,Hotel 213,Cancun,2,12/22,12/26,3,4,469,279,314,330,286
12/19/2022,Hotel 213,Cancun,2,12/19,12/25,0,6,524,441,583,614,453
12/19/2022,Hotel 213,Cancun,2,12/22,12/28,3,6,615,520,583,614,533
12/19/2022,Hotel 94,Cancun,2,12/19,12/20,0,1,99,131,130,131,130
12/19/2022,Hotel 94,Cancun,2,12/22,12/23,3,1,89,129,127,129,128
12/19/2022,Hotel 94,Cancun,2,12/19,12/23,0,4,453,524,519,524,518
12/19/2022,Hotel 94,Cancun,2,12/22,12/26,3,4,407,350,498,503,502
12/19/2022,Hotel 94,Cancun,2,12/19,12/25,0,6,789,787,778,787,778
12/19/2022,Hotel 94,Cancun,2,12/22,12/28,3,6,789,788,780,788,787
12/19/2022,Hotel 56,Cancun,2,12/19,12/20,0,1,117,180,171,212,215
12/19/2022,Hotel 56,Cancun,2,12/22,12/23,3,1,112,121,114,142,144
12/19/2022,Hotel 56,Cancun,2,12/19,12/23,0,4,532,712,672,839,852
12/19/2022,Hotel 56,Cancun,2,12/22,12/26,3,4,602,568,539,669,679
12/19/2022,Hotel 56,Cancun,2,12/19,12/25,0,6,1268,1058,1001,1248,1266
12/19/2022,Hotel 56,Cancun,2,12/22,12/28,3,6,1105,1058,1009,1248,1266
12/19/2022,Hotel 34,Cancun,2,12/22,12/23,3,1,75,73,71,69,67
12/19/2022,Hotel 34,Cancun,2,12/22,12/26,3,4,490,488,486,484,482
12/19/2022,Hotel 34,Cancun,2,12/22,12/28,3,6,602,598,594,590,586
12/19/2022,Hotel 33,Cancun,2,12/19,12/20,0,1,175,275,293,291,259
12/19/2022,Hotel 33,Cancun,2,12/22,12/23,3,1,199,189,180,202,200
12/19/2022,Hotel 33,Cancun,2,12/19,12/23,0,4,870,1018,1080,1076,959
12/19/2022,Hotel 33,Cancun,2,12/22,12/26,3,4,711,755,721,809,801
12/19/2022,Hotel 33,Cancun,2,12/19,12/25,0,6,1572,1485,1432,1570,1411
12/19/2022,Hotel 33,Cancun,2,12/22,12/28,3,6,1217,1133,1081,1213,1201
12/19/2022,Hotel 84,Cancun,2,12/19,12/20,0,1,Sold Out,Sold Out,Sold Out,Sold Out,Sold Out
12/19/2022,Hotel 84,Cancun,2,12/22,12/23,3,1,377,346,309,382,381
12/19/2022,Hotel 84,Cancun,2,12/22,12/26,3,4,1528,1384,1237,1526,1526
12/19/2022,Hotel 84,Cancun,2,12/22,12/28,3,6,2341,2067,1848,2280,2279
12/19/2022,Hotel 228,Cancun,2,12/19,12/20,0,1,550,538,744,716,774
12/19/2022,Hotel 228,Cancun,2,12/22,12/23,3,1,471,478,820,636,688
12/19/2022,Hotel 228,Cancun,2,12/19,12/23,0,4,2182,2030,2804,2705,2926
12/19/2022,Hotel 228,Cancun,2,12/22,12/26,3,4,2518,2327,3225,3100,3354
12/19/2022,Hotel 228,Cancun,2,12/19,12/25,0,6,3568,3253,4502,4335,4617
12/19/2022,Hotel 228,Cancun,2,12/22,12/28,3,6,3498,3191,4427,4252,4529
12/19/2022,Hotel 149,Cancun,2,12/19,12/20,0,1,63,98,97,119,110
12/19/2022,Hotel 149,Cancun,2,12/22,12/23,3,1,71,106,104,129,119
12/19/2022,Hotel 149,Cancun,2,12/19,12/23,0,4,359,417,409,505,467
12/19/2022,Hotel 149,Cancun,2,12/22,12/26,3,4,369,427,419,518,479
12/19/2022,Hotel 149,Cancun,2,12/19,12/25,0,6,766,629,617,762,714
12/19/2022,Hotel 149,Cancun,2,12/22,12/28,3,6,812,668,647,809,708
12/20/2022,Hotel 40,Charlotte,2,12/20,12/21,0,1,76,103,103,103,102
12/20/2022,Hotel 40,Charlotte,2,12/23,12/24,3,1,71,97,97,97,97
12/20/2022,Hotel 40,Charlotte,2,12/20,12/24,0,4,318,349,349,349,348
12/20/2022,Hotel 40,Charlotte,2,12/23,12/27,3,4,337,374,374,373,373
12/20/2022,Hotel 40,Charlotte,2,12/20,12/26,0,6,483,532,532,532,531
12/20/2022,Hotel 40,Charlotte,2,12/23,12/29,3,6,492,546,546,546,545
12/20/2022,Hotel 100,Charlotte,2,12/20,12/21,0,1,158,183,165,183,183
12/20/2022,Hotel 100,Charlotte,2,12/23,12/24,3,1,141,166,149,166,165
12/20/2022,Hotel 100,Charlotte,2,12/20,12/24,0,4,705,768,691,768,767
12/20/2022,Hotel 100,Charlotte,2,12/23,12/27,3,4,681,710,639,710,709
12/20/2022,Hotel 100,Charlotte,2,12/20,12/26,0,6,1059,1169,1052,1169,1168
12/20/2022,Hotel 100,Charlotte,2,12/23,12/29,3,6,960,1065,958,1065,1064
12/20/2022,Hotel 96,Charlotte,2,12/20,12/21,0,1,201,213,213,213,213
12/20/2022,Hotel 96,Charlotte,2,12/23,12/24,3,1,260,259,259,259,258
12/20/2022,Hotel 96,Charlotte,2,12/20,12/24,0,4,861,1046,1046,1046,994
12/20/2022,Hotel 96,Charlotte,2,12/23,12/27,3,4,845,843,843,843,842
12/20/2022,Hotel 96,Charlotte,2,12/20,12/26,0,6,1765,1570,1570,1570,1454
12/20/2022,Hotel 96,Charlotte,2,12/23,12/29,3,6,1382,1350,1350,1350,1349
12/20/2022,Hotel 194,Charlotte,2,12/20,12/21,0,1,68,90,109,95,94
12/20/2022,Hotel 194,Charlotte,2,12/23,12/24,3,1,69,90,98,95,94
12/20/2022,Hotel 194,Charlotte,2,12/20,12/24,0,4,348,360,372,379,378
12/20/2022,Hotel 194,Charlotte,2,12/23,12/27,3,4,358,369,398,389,388
12/20/2022,Hotel 194,Charlotte,2,12/20,12/26,0,6,525,545,572,573,573
12/20/2022,Hotel 194,Charlotte,2,12/23,12/29,3,6,529,549,583,578,577
12/20/2022,Hotel 257,Charlotte,2,12/20,12/21,0,1,287,289,302,322,321
12/20/2022,Hotel 257,Charlotte,2,12/23,12/24,3,1,310,310,324,345,344
12/20/2022,Hotel 257,Charlotte,2,12/23,12/27,3,4,1349,1301,1359,1446,1445
12/20/2022,Hotel 257,Charlotte,2,12/23,12/29,3,6,1758,1730,1807,1922,1922
12/20/2022,Hotel 222,Charlotte,2,12/20,12/21,0,1,75,111,100,111,111
12/20/2022,Hotel 222,Charlotte,2,12/23,12/24,3,1,63,98,89,101,101
12/20/2022,Hotel 222,Charlotte,2,12/20,12/24,0,4,377,448,405,451,443
12/20/2022,Hotel 222,Charlotte,2,12/23,12/27,3,4,317,434,393,437,428
12/20/2022,Hotel 222,Charlotte,2,12/20,12/26,0,6,589,687,621,690,678
12/20/2022,Hotel 222,Charlotte,2,12/23,12/29,3,6,527,622,563,624,611
12/20/2022,Hotel 167,Charlotte,2,12/20,12/21,0,1,54,86,78,86,86
12/20/2022,Hotel 167,Charlotte,2,12/23,12/24,3,1,52,84,76,84,84
12/20/2022,Hotel 167,Charlotte,2,12/20,12/24,0,4,281,341,307,341,341
12/20/2022,Hotel 167,Charlotte,2,12/23,12/27,3,4,314,360,324,360,359
